T_TL_TIMELINE_DATA_UID,T_TL_TIMELINE_DATA_UID,process01,waiting1-2,processing02,waiting2-3,process03,waiting3-4,processing4,waiting4-5,processing5,waiting5-6,processing6,waiting6-7,processing7,waiting7-8,processing8,waiting8-9,processing9,
151946,151946,36,13,46,10,10,3,6,13,10,36,25,42,25,61,31,64,47,478
151947,151947,36,10,49,6,8,2,7,12,12,39,24,47,25,63,32,73,62,507
151948,151948,36,7,53,5,8,2,7,11,11,44,24,48,27,68,32,76,73,532
151949,151949,35,25,48,5,7,2,7,11,10,37,25,57,24,64,32,93,41,523
151950,151950,35,7,50,6,10,3,8,12,10,46,25,48,25,92,32,51,43,503
151951,151951,36,12,50,6,9,6,6,14,11,48,24,70,30,56,32,50,42,502
151952,151952,35,9,48,9,8,3,7,15,11,70,24,56,26,45,32,51,45,494
151953,151953,35,10,46,10,13,2,7,37,10,63,25,33,24,51,31,52,61,510
151954,151954,35,13,50,18,11,3,12,33,10,40,25,35,27,52,32,67,42,505
151955,151955,35,17,53,29,6,3,8,26,11,29,25,38,26,63,33,51,57,510
151956,151956,36,28,54,7,12,2,7,12,9,38,26,48,27,41,33,87,23,490
151957,151957,35,14,43,21,7,5,7,11,11,45,24,22,27,29,32,95,22,450
151994,151994,36,3,60,8,24,2,7,13,12,31,25,57,26,36,32,151,34,557
151996,151996,35,45,46,5,8,2,8,13,11,33,25,32,25,118,31,117,54,608
151998,151998,35,6,51,8,7,2,8,11,11,18,25,93,43,103,32,76,59,588
151999,151999,35,12,48,7,11,2,6,12,11,69,26,92,38,69,32,78,47,595
152001,152001,35,12,52,6,9,2,8,30,9,91,25,75,26,71,32,63,36,582
152002,152002,35,13,54,17,11,2,8,52,10,83,24,59,26,46,32,61,82,615
152003,152003,35,19,60,34,12,3,9,50,11,63,24,36,25,49,32,101,52,615
152005,152005,36,37,50,46,11,3,8,30,12,42,24,36,26,100,31,62,57,611
152007,152007,36,47,55,15,11,3,8,16,13,82,25,40,29,59,33,67,40,579
152009,152009,35,22,51,8,9,4,7,16,9,84,25,36,41,68,32,50,60,557
152011,152011,36,13,51,6,9,3,9,45,10,103,24,11,27,45,32,75,48,547
152013,152013,35,16,51,30,11,3,8,13,11,74,25,32,26,74,32,57,50,548
152015,152015,35,29,48,9,10,3,9,42,12,39,24,64,24,56,31,59,39,533
152016,152016,36,10,50,32,11,2,8,15,10,64,25,39,27,42,32,62,39,504
152018,152018,35,31,58,8,9,2,8,26,11,47,25,31,25,52,32,85,29,514
152020,152020,36,22,55,7,9,2,9,13,10,38,25,36,28,50,32,71,31,474
152022,152022,35,16,48,5,12,2,7,14,10,35,25,37,24,60,31,172,40,573
152024,152024,36,9,54,8,11,4,9,15,12,36,25,26,26,54,32,167,36,560
152025,152025,36,14,51,9,10,2,9,19,9,20,25,41,25,136,31,76,41,554
152027,152027,36,19,52,7,11,2,8,14,11,15,26,83,30,103,32,89,60,598
152029,152029,35,12,49,6,15,3,9,15,10,52,25,94,25,55,33,147,40,625
152030,152030,35,32,78,6,11,4,8,13,10,61,25,40,27,137,32,128,69,716
152032,152032,35,13,66,23,10,5,6,13,8,29,25,126,26,100,31,125,47,688
152034,152034,35,91,86,5,7,6,5,10,10,21,25,87,26,105,32,77,90,718
152036,152036,35,33,66,20,10,6,8,12,11,17,25,92,26,59,32,879,55,1386
152038,152038,35,52,58,30,14,3,7,21,9,16,24,48,25,926,32,56,45,1401
152040,152040,35,55,57,5,7,3,6,12,10,17,24,925,33,31,32,60,40,1352
152041,152041,36,13,60,7,11,6,6,13,10,865,25,42,24,54,32,58,45,1307
152042,152042,36,25,74,779,12,3,9,25,9,52,25,39,28,44,33,98,33,1324
152043,152043,36,794,54,14,10,3,8,19,9,49,24,35,26,41,35,98,40,1295
152044,152044,36,16,54,9,11,2,8,16,10,41,24,30,25,72,33,78,35,500
152047,152047,35,15,55,6,8,3,9,15,11,25,24,42,30,72,32,64,45,491
152049,152049,35,13,53,6,9,3,8,17,9,22,25,60,28,59,32,58,65,502
152050,152050,35,13,53,7,7,3,8,14,12,38,25,50,23,54,32,81,45,500
152052,152052,36,13,49,7,7,2,9,14,10,49,25,36,27,75,32,59,40,490
152054,152054,36,10,54,8,9,3,8,15,10,36,25,61,28,47,32,64,43,489
152056,152056,36,14,52,7,10,3,9,15,10,52,24,36,27,58,32,60,46,491
152058,152058,35,15,57,5,9,3,10,16,11,36,24,48,25,51,33,64,64,506
152060,152060,36,12,61,9,9,3,7,14,10,34,24,38,26,60,31,96,95,565
152061,152061,36,17,51,6,12,3,8,16,12,22,24,47,26,85,32,332,35,764
152064,152064,36,22,52,4,10,3,8,16,12,20,24,71,27,292,32,105,37,771
152065,152065,35,11,51,9,8,3,9,14,10,50,25,278,26,75,33,95,21,753
152070,152070,35,2,101,5,10,2,7,17,11,20,24,58,32,62,32,105,26,549
152073,152073,36,58,58,6,14,4,7,18,13,16,25,52,28,59,32,87,48,561
152074,152074,35,10,52,9,12,2,9,18,13,19,25,48,28,66,32,85,37,500
152075,152075,36,9,53,12,14,5,7,17,12,18,24,50,27,80,32,89,21,506
152077,152077,36,16,59,5,12,6,6,17,12,17,25,52,42,50,32,75,54,516
152079,152079,36,18,49,5,12,2,9,19,12,16,25,50,28,59,32,85,34,491
152080,152080,35,6,49,13,12,5,6,16,14,20,25,44,29,69,32,73,35,483
152081,152081,36,16,49,11,11,4,7,16,9,22,25,57,28,49,32,76,35,483
152083,152083,35,9,52,8,11,4,7,18,12,33,24,38,27,51,32,80,33,474
152085,152085,35,11,51,10,12,4,7,15,11,27,25,39,26,56,32,68,49,478
152086,152086,35,9,51,9,12,5,7,16,14,18,25,40,29,51,33,75,42,471
152087,152087,35,11,51,7,13,4,7,22,10,14,25,37,30,66,32,65,33,462
152089,152089,35,11,54,9,10,2,8,14,9,14,25,57,27,48,33,61,42,459
152090,152090,35,9,41,11,11,4,10,12,10,31,25,31,31,34,31,86,38,450
152091,152091,35,18,50,6,9,3,8,15,9,74,24,34,27,36,33,125,41,547
152092,152092,36,9,49,10,12,2,7,33,11,34,25,28,24,114,32,69,49,544
152093,152093,36,12,48,25,11,3,9,23,9,14,24,104,23,55,32,74,43,545
152094,152094,36,22,51,13,13,3,9,13,10,79,24,39,27,59,32,70,67,567
152095,152095,35,11,47,13,11,2,9,46,10,46,24,46,30,54,32,93,42,551
152096,152096,36,8,46,45,16,2,9,16,10,47,25,40,31,82,31,64,56,564
152097,152097,35,41,52,12,10,3,7,17,8,51,25,68,31,44,31,87,42,564
152098,152098,35,9,46,12,11,3,9,17,9,76,24,39,25,77,31,72,42,537
152099,152099,36,9,49,10,11,2,8,44,9,48,25,59,30,50,32,85,54,561
152100,152100,36,11,47,32,11,3,7,18,9,38,24,72,27,47,32,110,89,613
152101,152101,36,27,50,10,10,3,9,20,9,67,24,36,26,92,32,121,44,616
152102,152102,36,12,51,7,10,3,8,35,9,45,25,78,27,113,32,62,42,595
152103,152103,36,7,50,23,11,2,8,14,9,86,25,100,28,45,31,137,43,655
152104,152104,36,21,49,6,10,2,7,58,10,125,25,19,24,48,31,147,69,687
152105,152105,36,7,57,38,16,3,9,69,12,43,25,32,26,130,32,129,33,697
152106,152106,35,40,47,75,14,2,9,15,9,32,26,106,37,55,32,115,41,690
152107,152107,35,72,44,16,10,3,9,14,11,90,25,60,30,91,32,73,61,676
152108,152108,36,10,47,11,11,3,10,57,8,70,24,56,24,71,32,100,53,623
152109,152109,35,7,54,47,19,7,8,26,11,62,24,56,27,78,32,85,46,624
152110,152110,35,51,46,35,10,3,12,27,9,65,24,57,35,76,32,66,45,628
152111,152111,35,31,47,26,10,3,11,37,10,49,25,77,30,57,31,84,42,605
152112,152112,35,25,54,28,10,2,9,16,11,84,24,42,33,58,32,94,73,630
152113,152113,35,28,64,6,11,5,8,38,12,48,25,54,25,71,32,723,39,1224
152114,152114,35,56,46,6,10,2,9,18,10,48,26,58,24,91,31,681,35,1186
152115,152115,36,9,52,6,13,2,10,16,12,58,25,73,28,651,32,73,43,1139
152116,152116,35,17,47,10,13,3,9,18,11,80,25,623,30,77,31,63,59,1151
152117,152117,36,8,55,11,22,5,11,35,11,601,26,89,27,56,32,72,38,1135
152118,152118,36,59,76,6,18,2,6,599,11,30,25,43,27,67,33,53,41,1132
152119,152119,35,16,45,610,10,3,9,17,11,16,25,52,30,48,32,78,46,1083
152121,152121,36,606,55,11,13,3,8,14,10,21,25,39,28,51,32,81,73,1106
152126,152126,35,15,54,7,10,2,9,16,10,19,25,40,26,73,32,113,55,541
152128,152128,35,13,55,6,8,2,10,13,10,16,25,56,30,93,32,92,37,533
152129,152129,36,13,61,5,10,3,9,17,11,14,25,83,27,75,32,154,33,608
152131,152131,35,17,51,5,11,2,9,12,11,59,25,63,28,67,32,232,23,682
